Serial Number,Device Name,Address,Lat,Long,April 2023,May 2023,June 2023,July 2023,August 2023,September 2023,October 2023,November 2023,December 2023,2022,,,,
20071073,#KC CITY OF SOMERVILLE #SN MACARTHUR STREET,Macarthur St,42.3887901,-71.0883383,0,0,0,0,0,0,0,0,0,,,,,
20125469,#KC CITY OF SOMERVILLE #SN BOX 19 MACARTHUR ST,Macarthur St,42.3887901,-71.0883383,0,0,0,0,0,0,0,0,0,,,,,
20130101,#KC CITY OF SOMERVILLE #SN NORTH @ WYATT ST,146 North St,42.410541,-71.1284686,0,0,0,0,0,0,0,0,0,,,,,
20130448,#KC CITY OF SOMERVILLE #SN KUNG FU TEA,237 Elm St,42.3950413,-71.1214215,0,0,0,0,0,0,0,0,0,,,,,
20130454,#KC CITY OF SOMERVILLE #SN BONAIR,27 Bonair St,42.38853556,-71.08789925,0,0,0,0,0,0,0,0,0,,,,,
21000319,#KC CITY OF SOMERVILLE #SN MACARTHUR STREET,Macarthur St,42.3887989,-71.0883449,0,0,0,0,0,0,0,0,0,,,,,
21001217,#KC CITY OF SOMERVILLE #SN BEHIND MARTSA ON ELM,243 Elm St,42.3952882,-71.1216188,0,0,0,0,0,0,0,0,0,,,,,
21001552,#KC CITY OF SOMERVILLE #SN GILMAN STREET,Gilman St,42.3854065,-71.0914447,0,0,0,0,0,0,0,0,0,,,,,
21003886,#KC CITY OF SOMERVILLE #SN STONE PLACE,8 Stone Pl,42.3803724,-71.0948333,0,0,0,0,0,0,0,0,0,,,,,
21003967,#KC CITY OF SOMERVILLE #SN MACARTHUR STREET,6 Macarthur St,42.389094,-71.0879221,0,0,0,0,0,0,0,0,0,,,,,
21004869,#KC CITY OF SOMERVILLE #SN GILMAN STREET,108 Gilman St,42.3865052,-71.0933449,0,0,0,0,0,0,0,0,0,,,,,
21004870,#KC CITY OF SOMERVILLE #SN LINCOLN PARK,290 Washington St,42.3792142,-71.0998303,0,0,0,0,0,0,0,0,0,,,,,
21004874,#KC CITY OF SOMERVILLE #SN SANBORN COURT,1 Sanborn Ct,42.3796414,-71.0946992,0,0,0,0,0,0,0,0,0,,,,,
21004878,#KC CITY OF SOMERVILLE #SN LINCOLN PARK,290 Washington St,42.3787744,-71.09933809,0,0,0,0,0,0,0,0,0,,,,,
21004879,#KC CITY OF SOMERVILLE #SN STONE PLACE,8 Stone Pl,42.3803724,-71.0948333,0,0,0,0,0,0,0,0,0,,,,,
21004884,#KC CITY OF SOMERVILLE #SN LINCOLN PARK,290 Washington St,42.3792142,-71.0998303,0,0,0,0,0,0,0,0,0,,,,,
21004964,#KC CITY OF SOMERVILLE #SN DAVIS SQ BOW ST DUMPSTER AREA 7,50 Bow St,42.3813463,-71.0984776,0,0,0,0,0,0,0,0,0,,,,,
21004986,#KC CITY OF SOMERVILLE #SN WASHINGTON ST,290 Washington St,42.3792142,-71.0998303,0,0,0,0,0,0,0,0,0,,,,,
21005006,#KC CITY OF SOMERVILLE #SN MACARTHUR STREET,11 Macarthur St,42.3889953,-71.0884239,0,0,0,0,0,0,0,0,0,,,,,
21005027,#KC CITY OF SOMERVILLE #SN GILMAN STREET,115 Gilman St,42.386706,-71.0930312,0,0,0,0,0,0,0,0,0,,,,,
21005093,#KC CITY OF SOMERVILLE #SN LINCOLN PARK,290 Washington St,42.3792142,-71.0998303,0,0,0,0,0,0,0,0,0,,,,,
21005165,#KC CITY OF SOMERVILLE #SN LINCOLN PARK,290 Washington St,42.3792142,-71.0998303,0,0,0,0,0,0,0,0,0,,,,,
21005340,#KC CITY OF SOMERVILLE #SN 50 BOW ST LEFT OF PARKING LOT,50 Bow St,42.3813463,-71.0984776,0,0,0,0,0,0,0,0,0,,,,,
21005957,#CITY OF SOMERVILLE #SN GROVE STREET,9 Grove St,40.5680313,-74.6099171,0,0,0,0,0,0,0,0,0,,,,,
21006198,#KC CITY OF SOMERVILLE #SN WILLOW AVE,115 Willow Ave,42.3949331,-71.1159442,0,0,0,0,0,0,0,0,0,,,,,
21006200,#KC CITY OF SOMERVILLE #SN WALNUT STREET,Edward L. Leathers Community Park,42.3869499,-71.093696,0,0,0,0,0,0,0,0,0,,,,,
21006202,#CITY OF SOMERVILLE #SN WILLOW AVE,115 Willow Ave,42.3949331,-71.1159442,0,0,0,0,0,0,0,0,0,,,,,
21006205,#CITY OF SOMERVILLE #SN GILMAN STREET,89 Gilman St,42.3862359,-71.0923825,0,0,0,0,0,0,0,0,0,,,,,
21006208,#KC CITY OF SOMERVILLE #SN MACARTHUR STREET,6 Macarthur St,42.389094,-71.0879221,0,0,0,0,0,0,0,0,0,,,,,
21006213,#KC CITY OF SOMERVILLE #SN MACARTHUR STREET,Macarthur St & Broadway,42.3894343,-71.0877919,0,0,0,0,0,0,0,0,0,,,,,
21006257,#KC CITY OF SOMERVILLE #SN MACARTHUR STREET,Macarthur St & Broadway,42.3894343,-71.0877919,0,0,0,0,0,0,0,0,0,,,,,
21006258,#KC CITY OF SOMERVILLE #SN WILLOW AVE,115 Willow Ave,42.3949331,-71.1159442,0,0,0,0,0,0,0,0,0,,,,,
21006261,#KC CITY OF SOMERVILLE #SN MACARTHUR STREET,11 Macarthur St,42.3889925,-71.0884211,0,0,0,0,0,0,0,0,0,,,,,
21006555,#CITY OF SOMERVILLE #SN STONE PLACE,8 Stone Pl,42.3803724,-71.0948333,0,0,0,0,0,0,0,0,0,,,,,
21006619,#KC CITY OF SOMERVILLE #SN STONE PLACE,8 Stone Pl,42.3803724,-71.0948333,0,0,0,0,0,0,0,0,0,,,,,
21006707,#KC CITY OF SOMERVILLE #SN SANBORN COURT,1 Sanborn Ct,42.3796414,-71.0946992,0,0,0,0,0,0,0,0,0,,,,,
21006711,#KC CITY OF SOMERVILLE #SN WILLOW AVE,29 Newberne St,42.395701,-71.1170173,0,0,0,0,0,0,0,0,0,,,,,
21006743,#KC CITY OF SOMERVILLE #SN BIKE PATH 41,Somerville Community Path,42.3953466,-71.116602,0,0,0,0,0,0,0,0,0,,,,,
21006956,#KC CITY OF SOMERVILLE #SN WILLOW AVE,115 Willow Ave,42.3949331,-71.1159442,0,0,0,0,0,0,0,0,0,,,,,
21006958,#KC CITY OF SOMERVILLE #SN GROVE STREET,9 Grove St,40.5680313,-74.6099171,0,0,0,0,0,0,0,0,0,,,,,
21007032,#KC CITY OF SOMERVILLE #SN WILLOW AVE,115 Willow Ave,42.3949331,-71.1159442,0,0,0,0,0,0,0,0,0,,,,,
21007033,#KC CITY OF SOMERVILLE #SN GILMAN STREET,108 A Gilman St,42.3865212,-71.0933213,0,0,0,0,0,0,0,0,0,,,,,
